State,Domain,"Reporting Program","Measure Name","Measure Abbreviation","Rate Definition",FFY,Population,Methodology,"State Rate","Number of States Reporting",Median,"Bottom Quartile","Top Quartile",Notes,Source,Location
Alabama,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening: Ages 50-74",BCS-AD,"Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64",2016,Medicaid,Administrative,42,35,52.3,47.9,60.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(32.799, -86.8073)"
Oregon,"Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery",2016,"Medicaid & CHIP & Dual Eligibles",Hybrid,51,36,54.3,49.6,63.4,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(44.5672, -122.1269)"
Delaware,"Behavioral Health Care","Adult Core Set","Diabetes Screening for People with Schizophrenia or Bipolar Disorder Who Are Using Antipsychotic Medications: Ages 18-64",SSD-AD,"Percentage with Schizophrenia or Bipolar Disorder who were Dispensed an Antipsychotic Medication and had a Diabetes Screening Test: Ages 18-64",2016,"Medicaid & CHIP & Dual Eligibles",Administrative,73,25,78.6,73,81.2,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(39.3498, -75.5148)"
Maryland,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women: Ages 21-24",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: Ages 21-24",2016,"Medicaid & CHIP",Administrative,71.2,37,59.4,55.7,66.4,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(39.0724, -76.7902)"
Tennessee,"Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older",MPM-AD,"Percentage who Received at Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: Ages 18-64",2016,Medicaid,Administrative,90.3,32,85.9,83.4,89.3,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(35.7449, -86.7489)"
"New Mexico","Behavioral Health Care","Adult Core Set","Diabetes Screening for People with Schizophrenia or Bipolar Disorder Who Are Using Antipsychotic Medications: Ages 18-64",SSD-AD,"Percentage with Schizophrenia or Bipolar Disorder who were Dispensed an Antipsychotic Medication and had a Diabetes Screening Test: Ages 18-64",2016,Medicaid,Administrative,77.9,25,78.6,73,81.2,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(34.8375, -106.2371)"
Mississippi,"Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery",2016,Medicaid,Hybrid,58,36,54.3,49.6,63.4,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(32.7673, -89.6812)"
Michigan,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening: Ages 50-74",BCS-AD,"Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64",2016,Medicaid,Administrative,58.1,35,52.3,47.9,60.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(43.3504, -84.5603)"
"Rhode Island","Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older",MPM-AD,"Percentage who Received at Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: Ages 18-64",2016,"Medicaid & CHIP",Administrative,83.9,32,85.9,83.4,89.3,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(41.6772, -71.5101)"
Arkansas,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 21-64",2016,Medicaid,Administrative,55.8,36,59.7,48.4,70.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(34.9513, -92.3809)"
Virginia,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 6 Months: Ages 18-64",2016,"Medicaid & CHIP",Administrative,38.5,33,37.1,31.2,39.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(37.768, -78.2057)"
Utah,"Care of Acute and Chronic Conditions","Adult Core Set","Controlling High Blood Pressure: Ages 18-85",CBP-AD,"Percentage who had a Diagnosis of Hypertension and Whose Blood Pressure was Adequately Controlled (<140/90) During the Measurement Year: Ages 18-85",2016,"Medicaid & Dual Eligibles",Hybrid,67.4,26,54.9,48.2,62.1,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(40.1135, -111.8535)"
Louisiana,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 21-64",2016,"Medicaid & CHIP",Administrative,22.6,36,38.3,31.2,55.3,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(31.1801, -91.8749)"
Georgia,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 01: Diabetes Short-Term Complications Admission Rate: Age 18 and Older",PQI01-AD,"Inpatient Hospital Admissions for Diabetes Short-Term Complications per 100,000 Enrollee-Months: Ages 18-64 [Lower rates are better]",2016,"Medicaid & CHIP",Administrative,32.4,25,18.5,27.9,15.1,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(32.9866, -83.6487)"
Colorado,"Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older",MPM-AD,"Percentage who Received at Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: Ages 18-64",2016,"Medicaid & Dual Eligibles",Administrative,83.5,32,85.9,83.4,89.3,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(39.0646, -105.3272)"
"New York","Behavioral Health Care","Adult Core Set","Adherence to Antipsychotics for Individuals with Schizophrenia: Ages 19-64",SAA-AD,"Percentage with Schizophrenia who were Dispensed and Remained on Antipsychotic Medication for at Least 80 Percent of their Treatment Period: Ages 19-64",2016,Medicaid,Administrative,60.9,28,60.6,55.4,67.2,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(42.1497, -74.9384)"
"South Carolina","Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women: Ages 21-24",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: Ages 21-24",2016,Medicaid,Administrative,57.6,37,59.4,55.7,66.4,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(33.8191, -80.9066)"
"South Carolina","Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening: Ages 50-74",BCS-AD,"Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64",2016,Medicaid,Administrative,23,35,52.3,47.9,60.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(33.8191, -80.9066)"
Oregon,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Testing: Ages 18-75",HA1C-AD,"Percentage with Diabetes (Type 1 or Type 2) who had a Hemoglobin A1c (HbA1c) Test: Ages 18-64",2016,"Medicaid & CHIP & Dual Eligibles",Administrative,83.9,37,83.3,78.8,86.2,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(44.5672, -122.1269)"
Hawaii,"Behavioral Health Care","Adult Core Set","Diabetes Screening for People with Schizophrenia or Bipolar Disorder Who Are Using Antipsychotic Medications: Ages 18-64",SSD-AD,"Percentage with Schizophrenia or Bipolar Disorder who were Dispensed an Antipsychotic Medication and had a Diabetes Screening Test: Ages 18-64",2016,"Medicaid & Dual Eligibles",Administrative,71.2,25,78.6,73,81.2,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(21.1098, -157.5311)"
Hawaii,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Testing: Ages 18-75",HA1C-AD,"Percentage with Diabetes (Type 1 or Type 2) who had a Hemoglobin A1c (HbA1c) Test: Ages 18-64",2016,"Medicaid & Dual Eligibles","Administrative & Hybrid",83.9,37,83.3,78.8,86.2,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(21.1098, -157.5311)"
"South Carolina","Behavioral Health Care","Adult Core Set","Adherence to Antipsychotics for Individuals with Schizophrenia: Ages 19-64",SAA-AD,"Percentage with Schizophrenia who were Dispensed and Remained on Antipsychotic Medication for at Least 80 Percent of their Treatment Period: Ages 19-64",2016,Medicaid,Administrative,60,28,60.6,55.4,67.2,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(33.8191, -80.9066)"
"New Mexico","Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening: Ages 21-64",CCS-AD,"Percentage of Women Screened for Cervical Cancer: Ages 21-64",2016,Medicaid,Hybrid,49,39,52.8,47.9,62.8,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(34.8375, -106.2371)"
"New Hampshire","Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery",2016,"Medicaid & Dual Eligibles",Hybrid,66.4,36,54.3,49.6,63.4,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(43.4108, -71.5653)"
Kentucky,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening: Ages 21-64",CCS-AD,"Percentage of Women Screened for Cervical Cancer: Ages 21-64",2016,"Medicaid & Dual Eligibles",Hybrid,50.6,39,52.8,47.9,62.8,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(37.669, -84.6514)"
"West Virginia","Behavioral Health Care","Adult Core Set","Diabetes Screening for People with Schizophrenia or Bipolar Disorder Who Are Using Antipsychotic Medications: Ages 18-64",SSD-AD,"Percentage with Schizophrenia or Bipolar Disorder who were Dispensed an Antipsychotic Medication and had a Diabetes Screening Test: Ages 18-64",2016,Medicaid,Administrative,75.9,25,78.6,73,81.2,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(38.468, -80.9696)"
Oregon,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 21-64",2016,"Medicaid & CHIP & Dual Eligibles",Administrative,87.9,36,59.7,48.4,70.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(44.5672, -122.1269)"
Virginia,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 21-64",2016,"Medicaid & CHIP",Administrative,62.3,36,59.7,48.4,70.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(37.768, -78.2057)"
Pennsylvania,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening: Ages 21-64",CCS-AD,"Percentage of Women Screened for Cervical Cancer: Ages 21-64",2016,Medicaid,Hybrid,62.8,39,52.8,47.9,62.8,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(40.5773, -77.264)"
Ohio,"Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery",2016,"Medicaid & CHIP",Administrative,47.9,36,54.3,49.6,63.4,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(40.3736, -82.7755)"
Hawaii,"Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older",MPM-AD,"Percentage who Received at Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: Ages 18-64",2016,"Medicaid & Dual Eligibles",Administrative,89.3,32,85.9,83.4,89.3,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(21.1098, -157.5311)"
Oklahoma,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening: Ages 50-74",BCS-AD,"Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64",2016,"Medicaid & CHIP & Dual Eligibles",Administrative,41.6,35,52.3,47.9,60.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(35.5376, -96.9247)"
Tennessee,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Drug Dependence who Initiated Treatment: Ages 18-64",2016,Medicaid,Administrative,34.2,26,35.7,32.5,39.8,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(35.7449, -86.7489)"
Iowa,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening: Ages 50-74",BCS-AD,"Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64",2016,Medicaid,Administrative,48.5,35,52.3,47.9,60.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(42.0046, -93.214)"
Washington,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Testing: Ages 18-75",HA1C-AD,"Percentage with Diabetes (Type 1 or Type 2) who had a Hemoglobin A1c (HbA1c) Test: Ages 18-64",2016,"Medicaid & CHIP",Hybrid,88.3,37,83.3,78.8,86.2,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(47.3917, -121.5708)"
Colorado,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 21-64",2016,"Medicaid & Dual Eligibles",Administrative,43.9,36,59.7,48.4,70.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(39.0646, -105.3272)"
Illinois,"Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery",2016,"Medicaid & CHIP",Administrative,54.2,36,54.3,49.6,63.4,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(40.3363, -89.0022)"
Michigan,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 01: Diabetes Short-Term Complications Admission Rate: Age 18 and Older",PQI01-AD,"Inpatient Hospital Admissions for Diabetes Short-Term Complications per 100,000 Enrollee-Months: Ages 18-64 [Lower rates are better]",2016,Medicaid,Administrative,21,25,18.5,27.9,15.1,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(43.3504, -84.5603)"
Nebraska,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 21-64",2016,"Medicaid & CHIP & Dual Eligibles",Administrative,75.8,36,59.7,48.4,70.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(41.1289, -98.2883)"
"District of Columbia","Care of Acute and Chronic Conditions","Adult Core Set","Controlling High Blood Pressure: Ages 18-85",CBP-AD,"Percentage who had a Diagnosis of Hypertension and Whose Blood Pressure was Adequately Controlled (<140/90) During the Measurement Year: Ages 18-85",2016,"Medicaid & CHIP & Dual Eligibles",Hybrid,48.2,26,54.9,48.2,62.1,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(38.8964, -77.0262)"
Alabama,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women: Ages 21-24",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: Ages 21-24",2016,Medicaid,Administrative,66.4,37,59.4,55.7,66.4,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(32.799, -86.8073)"
Texas,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 01: Diabetes Short-Term Complications Admission Rate: Age 18 and Older",PQI01-AD,"Inpatient Hospital Admissions for Diabetes Short-Term Complications per 100,000 Enrollee-Months: Ages 18-64 [Lower rates are better]",2016,Medicaid,Administrative,26.4,25,18.5,27.9,15.1,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(31.106, -97.6475)"
Iowa,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 21-64",2016,Medicaid,Administrative,44.5,36,38.3,31.2,55.3,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(42.0046, -93.214)"
Oklahoma,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women: Ages 21-24",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: Ages 21-24",2016,"Medicaid & CHIP & Dual Eligibles",Administrative,62.5,37,59.4,55.7,66.4,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(35.5376, -96.9247)"
"New York","Care of Acute and Chronic Conditions","Adult Core Set","PQI 08: Heart Failure Admission Rate: Age 18 and Older",PQI08-AD,"Inpatient Hospital Admissions for Heart Failure per 100,000 Enrollee-Months: Ages 18-64 [Lower rates are better]",2016,Medicaid,Administrative,14.5,25,20.8,29.6,14,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(42.1497, -74.9384)"
Georgia,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening: Ages 50-74",BCS-AD,"Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64",2016,Medicaid,Administrative,38.3,35,52.3,47.9,60.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(32.9866, -83.6487)"
Vermont,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 12 Weeks: Ages 18-64",2016,"Medicaid & CHIP",Administrative,69.4,33,52.4,46,55.5,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(44.0407, -72.7093)"
Washington,"Care of Acute and Chronic Conditions","Adult Core Set","Controlling High Blood Pressure: Ages 18-85",CBP-AD,"Percentage who had a Diagnosis of Hypertension and Whose Blood Pressure was Adequately Controlled (<140/90) During the Measurement Year: Ages 18-85",2016,"Medicaid & CHIP",Hybrid,53.5,26,54.9,48.2,62.1,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(47.3917, -121.5708)"
"North Carolina","Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Drug Dependence who Initiated Treatment: Ages 18-64",2016,Medicaid,Administrative,27.3,26,35.7,32.5,39.8,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(35.6411, -79.8431)"
Delaware,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women: Ages 21-24",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: Ages 21-24",2016,Medicaid,Administrative,66.4,37,59.4,55.7,66.4,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(39.3498, -75.5148)"
Massachusetts,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 21-64",2016,Medicaid,Administrative,81.2,36,59.7,48.4,70.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(42.2373, -71.5314)"
Kentucky,"Care of Acute and Chronic Conditions","Adult Core Set","Controlling High Blood Pressure: Ages 18-85",CBP-AD,"Percentage who had a Diagnosis of Hypertension and Whose Blood Pressure was Adequately Controlled (<140/90) During the Measurement Year: Ages 18-85",2016,"Medicaid & Dual Eligibles",Hybrid,52.3,26,54.9,48.2,62.1,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(37.669, -84.6514)"
Washington,"Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery",2016,"Medicaid & CHIP",Hybrid,52.2,36,54.3,49.6,63.4,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(47.3917, -121.5708)"
Louisiana,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Testing: Ages 18-75",HA1C-AD,"Percentage with Diabetes (Type 1 or Type 2) who had a Hemoglobin A1c (HbA1c) Test: Ages 18-64",2016,"Medicaid & CHIP",Administrative,74.4,37,83.3,78.8,86.2,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(31.1801, -91.8749)"
"New York","Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Testing: Ages 18-75",HA1C-AD,"Percentage with Diabetes (Type 1 or Type 2) who had a Hemoglobin A1c (HbA1c) Test: Ages 18-64",2016,Medicaid,Administrative,83.7,37,83.3,78.8,86.2,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(42.1497, -74.9384)"
Connecticut,"Behavioral Health Care","Adult Core Set","Adherence to Antipsychotics for Individuals with Schizophrenia: Ages 19-64",SAA-AD,"Percentage with Schizophrenia who were Dispensed and Remained on Antipsychotic Medication for at Least 80 Percent of their Treatment Period: Ages 19-64",2016,Medicaid,Administrative,67.3,28,60.6,55.4,67.2,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(41.5834, -72.7622)"
"Rhode Island","Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 30 Days of Discharge: Ages 21-64",2016,"Medicaid & CHIP",Administrative,75.2,36,59.7,48.4,70.6,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(41.6772, -71.5101)"
Utah,"Behavioral Health Care","Adult Core Set","Diabetes Screening for People with Schizophrenia or Bipolar Disorder Who Are Using Antipsychotic Medications: Ages 18-64",SSD-AD,"Percentage with Schizophrenia or Bipolar Disorder who were Dispensed an Antipsychotic Medication and had a Diabetes Screening Test: Ages 18-64",2016,"Medicaid & Dual Eligibles",Administrative,84.8,25,78.6,73,81.2,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(40.1135, -111.8535)"
Illinois,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Drug Dependence who Initiated Treatment: Ages 18-64",2016,"Medicaid & CHIP",Administrative,35.7,26,35.7,32.5,39.8,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(40.3363, -89.0022)"
Iowa,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 08: Heart Failure Admission Rate: Age 18 and Older",PQI08-AD,"Inpatient Hospital Admissions for Heart Failure per 100,000 Enrollee-Months: Ages 18-64 [Lower rates are better]",2016,Medicaid,Administrative,20.9,25,20.8,29.6,14,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(42.0046, -93.214)"
Connecticut,"Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery",2016,"Medicaid & CHIP",Hybrid,64.2,36,54.3,49.6,63.4,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(41.5834, -72.7622)"
Delaware,"Primary Care Access and Preventive Care","Adult Core Set","Cervical Cancer Screening: Ages 21-64",CCS-AD,"Percentage of Women Screened for Cervical Cancer: Ages 21-64",2016,"Medicaid & Dual Eligibles",Hybrid,65.2,39,52.8,47.9,62.8,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(39.3498, -75.5148)"
Utah,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 21-64",2016,"Medicaid & Dual Eligibles",Administrative,58.3,36,38.3,31.2,55.3,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(40.1135, -111.8535)"
"New Hampshire","Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Drug Dependence who Initiated and Engaged in Treatment: Ages 18-64",2016,Medicaid,Administrative,15.2,26,13.7,6.9,17.9,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(43.4108, -71.5653)"
Alabama,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 21-64",2016,Medicaid,Administrative,80.2,36,38.3,31.2,55.3,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(32.799, -86.8073)"
"Rhode Island","Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Drug Dependence who Initiated Treatment: Ages 18-64",2016,"Medicaid & CHIP",Administrative,47.4,26,35.7,32.5,39.8,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(41.6772, -71.5101)"
"North Carolina","Behavioral Health Care","Adult Core Set","Adherence to Antipsychotics for Individuals with Schizophrenia: Ages 19-64",SAA-AD,"Percentage with Schizophrenia who were Dispensed and Remained on Antipsychotic Medication for at Least 80 Percent of their Treatment Period: Ages 19-64",2016,Medicaid,Administrative,62.6,28,60.6,55.4,67.2,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(35.6411, -79.8431)"
Connecticut,"Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older",MPM-AD,"Percentage who Received at Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: Ages 18-64",2016,"Medicaid & CHIP",Administrative,87.2,32,85.9,83.4,89.3,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(41.5834, -72.7622)"
California,"Behavioral Health Care","Adult Core Set","Adherence to Antipsychotics for Individuals with Schizophrenia: Ages 19-64",SAA-AD,"Percentage with Schizophrenia who were Dispensed and Remained on Antipsychotic Medication for at Least 80 Percent of their Treatment Period: Ages 19-64",2016,Medicaid,Administrative,69.2,28,60.6,55.4,67.2,,"Mathematica analysis of MACPro reports for the FFY 2016 reporting cycle.","(36.17, -119.7462)"
