State,Domain,"Reporting Program","Measure Name","Measure Abbreviation","Rate Definition",FFY,Population,Methodology,"State Rate","Number of States Reporting",Median,"Bottom Quartile","Top Quartile",Notes,"State Specific Comments",Source,Location
Virginia,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Testing: Ages 18-75",HA1C-AD,"Percentage with Diabetes (Type 1 or Type 2) who had a Hemoglobin A1c (HbA1c) Test: Ages 18-64",2017,"Medicaid & CHIP","Administrative & Hybrid",88.2,38,84.5,78.4,87.4,,"Rate includes managed care population (6 MCOs) ages 18 to 75. Rate excludes Medicare-Medicaid Dual Eligibles. Rate was derived using both administrative and hybrid method data. One MCO used the administrative method. Five MCOs used the hybrid method. State obtained rate from the NCQA Quality Compass and denominator is not available.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Virginia
(37.510861, -78.666382)"
"South Carolina","Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 12 Weeks: Ages 18-64",2017,"Medicaid & CHIP",Administrative,39.6,33,50.4,45.5,52.6,,"Rates include FFS and managed care populations (5 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","South Carolina
(33.878572, -80.864614)"
Texas,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 01: Diabetes Short-Term Complications Admission Rate: Age 18 and Older",PQI01-AD,"Inpatient Hospital Admissions for Diabetes Short-Term Complications per 100,000 Enrollee Months: Ages 18-64",2017,Medicaid,Administrative,23.3,29,18.0,23.4,14.1,,"Rate includes FFS and managed care populations (23 MCOs) age 18 and older. Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Texas
(31.447238, -99.317341)"
"Rhode Island","Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 21-64",2017,"Medicaid & CHIP",Administrative,68.9,42,41.9,33.5,59.4,,"Rates include managed care population (2 MCOs) age 6 and older, representing 87 percent of the population. Rates exclude FFS and PCCM populations, representing 13 percent of the population, and Medicare-Medicaid Dual Eligibles. State attributes rate increases from FFY 2016 to addition of MCO coverage for services provided by community mental health organizations, the Bridge on Discharge Program for transitions to outpatient care, and improved facility partnerships with MCOs.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Rhode Island
(41.572574, -71.534637)"
Tennessee,"Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery",2017,Medicaid,Hybrid,59.4,39,60.1,54.1,65.9,,"Rate includes managed care population (4 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Denominator is the sample size; measure-eligible population is 36,706. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Tennessee
(35.842998, -86.343226)"
Washington,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women Ages 21-24",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: Ages 21-24 Years",2017,Medicaid,Administrative,59.2,40,61.1,54.3,67.9,,"Rate includes managed care population (5 MCOs), representing 89 percent of the population. Rate excludes FFS and PCCM populations, representing 11 percent of the population, and Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Washington
(47.411715, -120.592492)"
Tennessee,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Testing: Ages 18-75",HA1C-AD,"Percentage with Diabetes (Type 1 or Type 2) who had a Hemoglobin A1c (HbA1c) Test: Ages 18-64",2017,Medicaid,Hybrid,82.5,38,84.5,78.4,87.4,,"Rate includes managed care population (4 MCOs) ages 18 to 75. Rate excludes Medicare-Medicaid Dual Eligibles. Denominator is the sample size; measure-eligible population is 52,972. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Tennessee
(35.842998, -86.343226)"
Wyoming,"Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery",2017,"Medicaid & Dual Eligibles",Administrative,17.4,39,60.1,54.1,65.9,,"Rate includes FFS population.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Wyoming
(42.999627, -107.55145)"
Utah,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Poor Control (>9.0%): Ages 18-75",HPC-AD,"Percentage with Diabetes (Type 1 or Type 2) who had Hemoglobin A1c in Poor Control (>9.0%): Ages 18-64",2017,"Medicaid & Dual Eligibles",Hybrid,33.7,27,41.9,47.6,36.0,,"Rate includes managed care population (4 MCOs) ages 18 to 75, representing 78 percent of the population. Rate excludes FFS population, representing 22 percent of the population. Denominator is the sample size; measure-eligible population is 4,691. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Utah
(39.323779, -111.678222)"
"West Virginia","Care of Acute and Chronic Conditions","Adult Core Set","PQI 05: Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate: Age 40 and Older",PQI05-AD,"Inpatient Hospital Admissions for Chronic Obstructive Pulmonary Disease (COPD) or Asthma per 100,00 Enrollee Months: Ages 40-64",2017,"Medicaid & Dual Eligibles",Administrative,100.5,25,70.4,100.5,52.8,,"Rate includes FFS and managed care populations (4 MCOs). Rate includes beneficiaries who were of appropriate age at any time during the measurement year. Rate does not exclude transfers from other hospitals, skilled nursing facilities, intermediate care facilities, and other health facilities.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","West Virginia
(38.642579, -80.613729)"
Wisconsin,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Poor Control (>9.0%): Ages 18-75",HPC-AD,"Percentage with Diabetes (Type 1 or Type 2) who had Hemoglobin A1c in Poor Control (>9.0%): Ages 18-64",2017,Medicaid,Hybrid,51.3,27,41.9,47.6,36.0,,"Rate includes managed care population (18 MCOs), representing 62 percent of the population. Rate excludes FFS population, representing 38 percent of the population, and Medicare-Medicaid Dual Eligibles. Denominator is the sample size; measure-eligible population is not available.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Wisconsin
(44.639954, -89.732969)"
Virginia,"Behavioral Health Care","Adult Core Set","Diabetes Screening for People with Schizophrenia or Bipolar Disorder Who Are Using Antipsychotic Medications: Ages 18-64",SSD-AD,"Percentage with Schizophrenia or Bipolar Disorder who were Dispensed an Antipsychotic Medication and had a Diabetes Screening Test: Ages 18-64",2017,"Medicaid & CHIP",Administrative,78.8,30,78.9,73.6,80.6,,"Rate includes managed care population (6 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. State obtained rate from the NCQA Quality Compass and denominator is not available.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Virginia
(37.510861, -78.666382)"
Utah,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 6 Months: Ages 18-64",2017,"Medicaid & Dual Eligibles",Administrative,63.0,34,34.9,29.4,37.6,,"Rates include managed care population (4 MCOs) age 18 and older, representing 78 percent of the population. Rates exclude FFS population, representing 22 percent of the population. MCO rates were audited by certified HEDIS auditors. State attributes rate increases from FFY 2016 to programs for behavioral health and depression management.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Utah
(39.323779, -111.678222)"
Texas,"Primary Care Access and Preventive Care","Adult Core Set","Adult Body Mass Index Assessment: Ages 18-74",ABA-AD,"Percentage who had an Outpatient Visit with a BMI Documented in the Medical Record: Ages 18-64 Years",2017,Medicaid,"Administrative & Hybrid",69.1,32,78.6,27.6,87.7,,"Rate includes FFS and managed care populations (23 MCOs) ages 18 to 74. Rate excludes Medicare-Medicaid Dual Eligibles. Rate was derived using both administrative and hybrid method data. The rates for the state's FFS population and two MCOs were calculated using the administrative method. Five MCOs used the hybrid method. Denominator is the measure-eligible population. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Texas
(31.447238, -99.317341)"
Pennsylvania,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women Ages 21-24",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: Ages 21-24 Years",2017,Medicaid,Administrative,63.6,40,61.1,54.3,67.9,,"Rate includes managed care population (9 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Data were submitted by MCOs and compiled by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Pennsylvania
(40.896694, -77.838886)"
Tennessee,"Behavioral Health Care","Adult Core Set","Adherence to Antipsychotics for Individuals with Schizophrenia: Ages 19-64",SAA-AD,"Percentage with Schizophrenia who were Dispensed and Remained on Antipsychotic Medication for at Least 80 Percent of their Treatment Period: Ages 19-64",2017,Medicaid,Administrative,58.7,31,61.9,56.6,66.2,,"Rate includes managed care population (4 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Tennessee
(35.842998, -86.343226)"
Vermont,"Primary Care Access and Preventive Care","Adult Core Set","Chlamydia Screening in Women Ages 21-24",CHL-AD,"Percentage of Sexually Active Women Screened for Chlamydia: Ages 21-24 Years",2017,"Medicaid & CHIP",Administrative,55.6,40,61.1,54.3,67.9,,"Rate includes FFS population. Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Vermont
(44.075252, -72.662695)"
Vermont,"Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older",MPM-AD,"Percentage who Received at Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: Ages 18-64",2017,"Medicaid & CHIP",Administrative,81.4,36,86.8,85.0,89.0,,"Rate includes FFS population. Rate excludes Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Vermont
(44.075252, -72.662695)"
Washington,"Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery",2017,Medicaid,Hybrid,58.8,39,60.1,54.1,65.9,,"Rate includes managed care population (5 MCOs), representing 89 percent of the population. Rate excludes FFS and PCCM populations, representing 11 percent of the population, and Medicare-Medicaid Dual Eligibles. Denominator is the sample size; measure-eligible population is 25,686.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Washington
(47.411715, -120.592492)"
Utah,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening: Ages 50-74",BCS-AD,"Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years",2017,"Medicaid & Dual Eligibles",Administrative,48.4,39,54.7,48.4,60.9,,"Rate includes managed care population (4 MCOs) ages 50 to 74, representing 78 percent of the population. Rate excludes FFS population, representing 22 percent of the population. MCO rates were audited by certified HEDIS auditors.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Utah
(39.323779, -111.678222)"
Texas,"Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Drug Dependence who Initiated and Engaged in Treatment: Ages 18-64",2017,Medicaid,Administrative,6.6,31,14.5,10.3,17.8,,"Rates include FFS and managed care populations (24 MCOs) age 18 and older. Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Texas
(31.447238, -99.317341)"
"West Virginia","Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Poor Control (>9.0%): Ages 18-75",HPC-AD,"Percentage with Diabetes (Type 1 or Type 2) who had Hemoglobin A1c in Poor Control (>9.0%): Ages 18-64",2017,Medicaid,Hybrid,39.9,27,41.9,47.6,36.0,,"Rate includes managed care population (4 MCOs), representing 68 percent of the population. Rate excludes FFS population, representing 32 percent of the population, and Medicare-Medicaid Dual Eligibles. Denominator is the sample size; measure-eligible population is 12,101. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","West Virginia
(38.642579, -80.613729)"
Vermont,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening: Ages 50-74",BCS-AD,"Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years",2017,"Medicaid & CHIP",Administrative,55.3,39,54.7,48.4,60.9,,"Rate includes FFS population. Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Vermont
(44.075252, -72.662695)"
Washington,"Behavioral Health Care","Adult Core Set","Diabetes Screening for People with Schizophrenia or Bipolar Disorder Who Are Using Antipsychotic Medications: Ages 18-64",SSD-AD,"Percentage with Schizophrenia or Bipolar Disorder who were Dispensed an Antipsychotic Medication and had a Diabetes Screening Test: Ages 18-64",2017,Medicaid,Administrative,85.0,30,78.9,73.6,80.6,,"Rate includes managed care population (5 MCOs), representing 89 percent of the population. Rate excludes FFS and PCCM populations, representing 11 percent of the population, and Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Washington
(47.411715, -120.592492)"
Washington,"Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older",MPM-AD,"Percentage who Received at Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: Ages 18-64",2017,Medicaid,Administrative,86.7,36,86.8,85.0,89.0,,"Rate includes managed care population (5 MCOs) age 18 and older, representing 89 percent of the population. Rate excludes FFS and PCCM populations, representing 11 percent of the population, and Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Washington
(47.411715, -120.592492)"
Pennsylvania,"Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery",2017,Medicaid,Hybrid,68.1,39,60.1,54.1,65.9,,"Rate includes managed care population (9 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles. Denominator is the sample size; measure-eligible population is 43,452.  Data were submitted by MCOs and compiled by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Pennsylvania
(40.896694, -77.838886)"
Utah,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 12 Weeks: Ages 18-64",2017,"Medicaid & Dual Eligibles",Administrative,75.6,33,50.4,45.5,52.6,,"Rates include managed care population (4 MCOs) age 18 and older, representing 78 percent of the population. Rates exclude FFS population, representing 22 percent of the population. MCO rates were audited by certified HEDIS auditors. State attributes rate increases from FFY 2016 to programs for behavioral health and depression management.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Utah
(39.323779, -111.678222)"
Wisconsin,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 6 Months: Ages 18-64",2017,Medicaid,Administrative,45.6,34,34.9,29.4,37.6,,"Rate includes managed care population (18 MCOs), representing 62 percent of the population. Rate excludes FFS population, representing 38 percent of the population, and Medicare-Medicaid Dual Eligibles. State is only able to report the Continuation Phase Treatment rate for this measure for FFY 2017.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Wisconsin
(44.639954, -89.732969)"
"South Carolina","Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery",2017,"Medicaid & CHIP",Administrative,54.1,39,60.1,54.1,65.9,,"Rate includes FFS and managed care populations (5 MCOs). Rate excludes Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","South Carolina
(33.878572, -80.864614)"
"West Virginia","Maternal and Perinatal Health","Adult Core Set","Prenatal and Postpartum Care: Postpartum Care",PPC-AD,"Percentage of Women Delivering a Live Birth who had a Postpartum Care Visit on or Between 21 and 56 Days after Delivery",2017,Medicaid,Hybrid,63.9,39,60.1,54.1,65.9,,"Rate includes managed care population (4 MCOs), representing 68 percent of the population. Rate excludes FFS population, representing 32 percent of the population, and Medicare-Medicaid Dual Eligibles. Denominator is the sample size; measure-eligible population is 8,456. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","West Virginia
(38.642579, -80.613729)"
Virginia,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 6 Months: Ages 18-64",2017,"Medicaid & CHIP",Administrative,36.5,34,34.9,29.4,37.6,,"Rates include managed care population (6 MCOs) age 18 and older. Rates exclude Medicare-Medicaid Dual Eligibles. State obtained rates from the NCQA Quality Compass and denominators are not available.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Virginia
(37.510861, -78.666382)"
Virginia,"Primary Care Access and Preventive Care","Adult Core Set","Breast Cancer Screening: Ages 50-74",BCS-AD,"Percentage of Women who had a Mammogram to Screen for Breast Cancer: Ages 50-64 Years",2017,"Medicaid & CHIP",Administrative,56.7,39,54.7,48.4,60.9,,"Rate includes managed care population (6 MCOs) ages 50 to 74. Rate excludes Medicare-Medicaid Dual Eligibles. State obtained rate from the NCQA Quality Compass and denominator is not available.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Virginia
(37.510861, -78.666382)"
"West Virginia","Behavioral Health Care","Adult Core Set","Adherence to Antipsychotics for Individuals with Schizophrenia: Ages 19-64",SAA-AD,"Percentage with Schizophrenia who were Dispensed and Remained on Antipsychotic Medication for at Least 80 Percent of their Treatment Period: Ages 19-64",2017,"Medicaid & Dual Eligibles",Administrative,58.1,31,61.9,56.6,66.2,,"Rate includes FFS and managed care populations (4 MCOs).","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","West Virginia
(38.642579, -80.613729)"
Tennessee,"Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Poor Control (>9.0%): Ages 18-75",HPC-AD,"Percentage with Diabetes (Type 1 or Type 2) who had Hemoglobin A1c in Poor Control (>9.0%): Ages 18-64",2017,Medicaid,Hybrid,41.9,27,41.9,47.6,36.0,,"Rate includes managed care population (4 MCOs) ages 18 to 75. Rate excludes Medicare-Medicaid Dual Eligibles. Denominator is the sample size; measure-eligible population is 52,972. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Tennessee
(35.842998, -86.343226)"
Texas,"Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 21-64",2017,Medicaid,Administrative,29.6,42,41.9,33.5,59.4,,"Rates include FFS and managed care populations (24 MCOs) age 21 and older. Rates exclude Medicare-Medicaid Dual Eligibles. Rates were validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Texas
(31.447238, -99.317341)"
"Rhode Island","Care of Acute and Chronic Conditions","Adult Core Set","Comprehensive Diabetes Care: Hemoglobin A1c Testing: Ages 18-75",HA1C-AD,"Percentage with Diabetes (Type 1 or Type 2) who had a Hemoglobin A1c (HbA1c) Test: Ages 18-64",2017,"Medicaid & CHIP",Hybrid,89.9,38,84.5,78.4,87.4,,"Rate includes managed care population (2 MCOs) ages 18 to 75, representing 87 percent of the population. Rate excludes FFS and PCCM populations, representing 13 percent of the population, and Medicare-Medicaid Dual Eligibles. Denominator is the sample size; measure-eligible population is 8,896.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Rhode Island
(41.572574, -71.534637)"
"West Virginia","Behavioral Health Care","Adult Core Set","Follow-Up After Hospitalization for Mental Illness: Age 21 and Older",FUH-AD,"Percentage of Hospitalizations for Mental Illness with a Follow-Up Visit Within 7 Days of Discharge: Ages 21-64",2017,"Medicaid & Dual Eligibles",Administrative,32.9,42,41.9,33.5,59.4,,"Rates include FFS and managed care populations (4 MCOs). Continuous enrollment criteria were not applied because the state cannot assess enrollment on specific dates. Denominator includes discharges that occurred during the last month of the measurement year. Rates exclude discharges followed by a direct transfer to another acute care facility or a readmission for diagnosis within 30 days of discharge. Numerator includes the following provider types: 20-23 (mental health facilities), 365 (psychiatry), 458 (child psychiatry), 824 (psychiatric nurse), 853 (supportive therapists), and 860 (psychologist). Denominator includes beneficiaries who were ages 21 to 64 at any time during the measurement year. Rates include paid claims only.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","West Virginia
(38.642579, -80.613729)"
Vermont,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 12 Weeks: Ages 18-64",2017,"Medicaid & CHIP",Administrative,70.3,33,50.4,45.5,52.6,,"Rates include FFS population. Rates exclude Medicare-Medicaid Dual Eligibles. State attributes higher performance on this measure to its high rate of community mental health services per capita and state collaboration with designated agencies that serve Medicaid beneficiaries with mental illness.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Vermont
(44.075252, -72.662695)"
Tennessee,"Care of Acute and Chronic Conditions","Adult Core Set","Controlling High Blood Pressure: Ages 18-85",CBP-AD,"Percentage who had a Diagnosis of Hypertension and Whose Blood Pressure was Adequately Controlled (<140/90 mmHg) During the Measurement Year: Ages 18-64",2017,Medicaid,Hybrid,55.6,26,56.7,52.5,65.9,,"Rate includes managed care population (4 MCOs) ages 18 to 85. Rate excludes Medicare-Medicaid Dual Eligibles. Denominator is the sample size; measure-eligible population is 84,919. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Tennessee
(35.842998, -86.343226)"
Texas,"Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older",MPM-AD,"Percentage who Received at Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: Ages 18-64",2017,Medicaid,Administrative,91.9,36,86.8,85.0,89.0,,"Rate includes FFS and managed care populations (5 MCOs) age 18 and older. Rate excludes Medicare-Medicaid Dual Eligibles. Rate was validated by the state's EQRO.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Texas
(31.447238, -99.317341)"
Wyoming,"Care of Acute and Chronic Conditions","Adult Core Set","PQI 01: Diabetes Short-Term Complications Admission Rate: Age 18 and Older",PQI01-AD,"Inpatient Hospital Admissions for Diabetes Short-Term Complications per 100,000 Enrollee Months: Ages 18-64",2017,"Medicaid & Dual Eligibles",Administrative,17.1,29,18.0,23.4,14.1,,"Rate includes FFS population.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Wyoming
(42.999627, -107.55145)"
"Rhode Island","Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older",MPM-AD,"Percentage who Received at Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: Ages 18-64",2017,"Medicaid & CHIP",Administrative,85.0,36,86.8,85.0,89.0,,"Rate includes managed care population (2 MCOs) age 18 and older, representing 87 percent of the population. Rate excludes FFS and PCCM populations, representing 13 percent of the population, and Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Rhode Island
(41.572574, -71.534637)"
Washington,"Behavioral Health Care","Adult Core Set","Antidepressant Medication Management: Age 18 and Older",AMM-AD,"Percentage Diagnosed with Major Depression who were Treated with and Remained on Antidepressant Medication for 12 Weeks: Ages 18-64",2017,Medicaid,Administrative,50.8,33,50.4,45.5,52.6,,"Rates include managed care population (5 MCOs) age 18 and older, representing 89 percent of the population. Rates exclude FFS and PCCM populations, representing 11 percent of the population, and Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Washington
(47.411715, -120.592492)"
"South Carolina","Behavioral Health Care","Adult Core Set","Initiation and Engagement of Alcohol and Other Drug Dependence Treatment: Age 18 and Older",IET-AD,"Percentage with a New Episode of Alcohol or Drug Dependence who Initiated Treatment: Ages 18-64",2017,"Medicaid & CHIP",Administrative,26.5,30,37.0,34.7,41.0,,"Rates include FFS and managed care populations (5 MCOs). Rates exclude Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","South Carolina
(33.878572, -80.864614)"
"West Virginia","Care of Acute and Chronic Conditions","Adult Core Set","Annual Monitoring for Patients on Persistent Medications: Age 18 and Older",MPM-AD,"Percentage who Received at Least 180 Treatment Days of Ambulatory Medication Therapy and Annual Monitoring: Ages 18-64",2017,"Medicaid & Dual Eligibles",Administrative,86.2,36,86.8,85.0,89.0,,"Rate includes FFS and managed care populations (4 MCOs). Rate includes paid claims only.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","West Virginia
(38.642579, -80.613729)"
"Rhode Island","Behavioral Health Care","Adult Core Set","Diabetes Screening for People with Schizophrenia or Bipolar Disorder Who Are Using Antipsychotic Medications: Ages 18-64",SSD-AD,"Percentage with Schizophrenia or Bipolar Disorder who were Dispensed an Antipsychotic Medication and had a Diabetes Screening Test: Ages 18-64",2017,"Medicaid & CHIP",Administrative,80.7,30,78.9,73.6,80.6,,"Rate includes managed care population (2 MCOs), representing 87 percent of the population. Rate excludes FFS and PCCM populations, representing 13 percent of the population, and Medicare-Medicaid Dual Eligibles.","Mathematica analysis of MACPro reports for the FFY 2017 reporting cycle as of November 1, 2018.","Rhode Island
(41.572574, -71.534637)"
